Year,Fund Code,Dept Number,Appropriation Authority,Description,Previous Year Grant,Anticipated Grant,Carryover,Year Total
2013,0817,084,2869,High Priority/SAFETEA-LU - Federal,7000000,9800000,,9800000
2013,0817,084,2871,High Priority/SAFETEA-LU - State,1750000,850000,,850000
2013,0827,084,2929,"DCEO Disaster Recovery ""Ike"" Program",,6233000,,6233000
2013,0834,084,2873,Cook County Highway Program,,4100000,,4100000
2013,0M07,084,2901,Outside Funding Contributions,1000000,1000000,,1000000
2013,0M22,084,2934,LED Traffic Signal Upgrade,472000,,,
2013,0M27,084,2938,Illinois Green Infrastructure Grant,,800000,,800000
2013,0M28,084,2937,Federal Section 117,,397000,,397000
2013,0M29,084,2936,ARRA - Transportation Community and System Preservation,47000,1040000,,1040000
2013,0M35,084,2884,EPA Section 319,,400000,,400000
2013,0M35,084,2973,Metropolitan Water Reclamation District,,5000000,,5000000
2013,0P07,084,2951,Hegewisch Marsh National Coastal Wetlands Project Carryover,6000,,,
2013,0P07,084,2962,Urban Bird Treaty Existing Cities,30000,,10000,10000
2013,0S51,084,2952,ARRA - Arra - Urban and Community Forestry Program Stimulus Carryover,421000,,421000,421000
2013,0S55,084,2954,ARRA - Chicago Area Alternative Fuels Deployment Project Carryover,5000000,,5000000,5000000
2013,0S84,084,2955,ARRA - CDBG-R Carryover,2750000,,,
2013,0783,084,2823,Surface Transportation Program - Engineering - State,210000,6156000,,6156000
2013,0783,084,2830,Surface Transportation Program - Engineering - Federal,840000,29536000,,29536000
2013,0783,084,2872,Surface Transportation Program - Enhancement - Federal,388000,20695000,,20695000
2013,0783,084,2919,Transportation Investments Generating Economic Recovery,,5000000,,5000000
2013,0783,084,2922,IDOT Section 408 Traffic Safety,550000,550000,,550000
2013,0783,084,2923,IDOT Emergency Repair Program,5080000,890000,,890000
2013,0783,084,2928,Highway Bridge Program,26550000,,,
2013,0783,084,2971,State Arterial Street Resurfacing,,17303000,,17303000
2013,0783,084,2972,State Arterial Street Resurfacing,,25083000,,25083000
2013,0863,084,2941,Calumet Environmental Center / IL First Carryover,1643000,,1643000,1643000
2013,0929,084,2939,ComEd Settlement Fund II,295000,,,
2013,0P12,084,2942,CMAQ - Bicycle Fleet Program Carryover,80000,,80000,80000
2013,0P12,084,2943,CMAQ - Emissions Reduction Project Carryover,1739000,,1739000,1739000
2013,0P12,084,2944,CMAQ - Diesel Fleet Retrofit Carryover,473000,,473000,473000
2013,0P12,084,2949,Ethanol to Hydrogen Vehicle Fueling Facility Carryover,1980000,,1980000,1980000
2013,0P14,084,2948,CMAQ - Chicago Diesel Retrofit Fleet Vehicle Carryover,1118000,,1118000,1118000
2013,0P16,084,2940,Calumet Area Redevelopment Initiative Carryover,6000,,6000,6000
2013,0P16,084,2953,Source Reduction Assistance Program Carryover,43000,,,
2013,0P29,084,2957,Chicago Area Plug-In Electric Vehicle Support Project,1043000,,1043000,1043000
2013,0P29,084,2959,Chicago Center for Green Technology Permeable Parking Lot,300000,,300000,300000
2013,0P29,084,2959,Total - 084 - Chicago Department of Transportation,408026000,501684000,13913000,515597000
2013,0P29,084,2959,Total - Infrastructure Services,408026000,501684000,13913000,515597000
2013,0623,085,2805,ARRA - Midway - Airport Improvement Program,10375000,15250000,3022000,18272000
2013,0623,085,2807,ARRA - Midway TSA,15681000,15769000,15000000,30769000
2013,0623,085,2814,ARRA - Midway - Transportation Security Administration,500000,,500000,500000
2013,0623,085,2817,ARRA - Midway - Electric Energy Efficiency Program,15000,200000,,200000
2013,0623,085,2819,ARRA - Midway Taxi Way Lighting,2250000,2250000,2250000,
2013,0624,085,2800,O'Hare Airport - FAA (Moa) - Phase II,29081000,38184000,29081000,67265000
2013,0624,085,2810,O'Hare - Airport Improvement Program,175600000,99100000,132419000,231519000
2013,0624,085,2811,O'Hare - Transportation Security Administration,19769000,2200000,7646000,9846000
2013,0624,085,2813,O'Hare - Airport Improvement Program (Aip) - Noise Program,84780000,18000000,40092000,58092000
2013,0624,085,2815,O'Hare / Midway - TSA National Explosives Detection Canine Team Program,1177000,1400000,,1400000
2013,0624,085,2816,O'Hare Airport - Public Sector Electric Energy Efficiency Program,212000,300000,,300000
2013,0624,085,2818,O'Hare Automatic Dependent Surveillance Broadcast,422000,422000,422000,
2013,0624,085,2821,O'Hare Moderization Program Airfield Guidance Signs,2262000,2262000,2262000,
2013,0624,085,2821,Total - 085 - Department of Aviation,342124000,185469000,232694000,418163000
2013,0096,088,2803,Electrical and Control Improvements at Thomas Jefferson and Lakeview Pumping Stations,50000,,,
2013,0584,088,2802,Electrical and Control Improvement,97000,,,
2013,0P07,088,2800,Urban Bird Treaty Existing Cities,30000,,,
2013,0P60,088,2806,Integrated Payments for Ecosystem Services Program in the Great Lakes Watershed,315000,,,
2013,0P16,088,2805,Integrated Ring-Billed Gull Management Lake Michigan Beach Health,200000,,,
2013,0P16,088,2805,Total - 088 - Department of Water Management,692000,,,
2013,0P16,088,2805,Total - Public Service Enterprises,342816000,185469000,232694000,418163000
2013,0P16,088,2805,Total - All Programs,1788996000,1287417345,519414655,1806832000
2013,,088,,Total 0562 - AIDS - Care Act,,,27925000,29038000
2013,,088,,Total 0585 - Child Care & Child Care Related,,,36935000,26000000
2013,,088,,Total 0783 - Illinois Department of Transportation,,,33847000,105442000
2013,,088,,Total 0847 - DOH Bioterrorism Grant Program,,,16117000,18912000
2013,,088,,Total 0863 - Environmental State Grants,,,1786000,1786000
2013,,088,,Total 0890 - Head Start,,,126223000,127981000
2013,,088,,Total 0929 - Com Ed Settlement Fund II,,,9700000,11118000
2013,,088,,Total 0H05 - Health Services Program Income,,,12321000,9158000
2013,,088,,Total 0M39 - OEMC Grants 2013,,,169000,37089345
2013,,088,,Total 0P12 - U.S. Dept of Energy,,,4312000,4312000
2013,,088,,Total 0P14 - Department of General Services - Federal,,,3707000,5518000
2013,,088,,Total 0P16 - U.S. Environmental Protection Agency - Federal,,,584000,818000
2013,,088,,Total 0P29 - Department of Environment State Grants,,,5743000,4343000
2014,2809,001,0929,ComEd Settlement Fund,395515,374115,,374115
2014,2800,001,0P71,Innovation Delivery Grant,1928000,2000000,,2000000
2014,2805,001,0P92,National Forum on Youth Violence Prevention,246000,,246000,246000
2014,2805,001,0P92,Total - 001 - Office of the Mayor,2569515,2374115,246000,2620115
2014,2855,005,0075,Central Grants Management,1680000,1952000,,1952000
2014,2809,005,0929,ComEd Settlement Fund,9838407,1000112,,1000112
2014,2807,005,0M39,Urban Area Security Initiative,223345,225217,,225217
2014,2807,005,0K40,Community Development Block Grant,3320537,3630231,,3630231
2014,2807,005,0K40,Total - 005 - Office of Budget and Management,15062289,6807560,,6807560
2014,0S60,006,2818,ARRA - Arra - Btop Public Computer Centers,345000,,,
2014,0S04,006,2817,ARRA - Arra - Btop Sustainable Broadband Adoption,85000,,,
2014,2820,006,0792,Fiber Connection Grant,566000,566000,,566000
2014,2811,006,0H42,Health Emergency Preparedness,502398,502059,,502059
2014,2810,006,0H05,Health Enterprise Systems,1787298,1567627,,1567627
2014,2815,006,0562,Health Sti/HIV Technology,252151,255808,,255808
2014,2815,006,0562,Total - 006 - Department of Innovation and Technology,3537847,2891494,,2891494
2014,2801,027,0N27,DHS Accounting,304389,306898,,306898
2014,2800,027,0N21,DHS Accounting,,124585,,124585
2014,2800,027,0585,DHS Accounting,125679,,,
2014,2800,027,0K40,Community Development Block Grant,1482256,1451025,,1451025
2014,2800,027,0K40,Total - 027 - Department of Finance,1912324,1882508,,1882508
2014,2800,031,0K40,Community Development Block Grant,1816789,1799052,,1799052
2014,2800,031,0K40,Total - 031 - Department of Law,1816789,1799052,,1799052
2014,2838,038,0929,ComEd Environmental Fund,884078,870773,50000,920773
2014,2814,038,0P83,LED Lighting,153000,200000,100000,300000
2014,2843,038,0079,Lighting Retrofits,139000,300000,100000,400000
2014,2833,038,0079,North Park Villiage Senior Wellness Center,1000000,,1000000,1000000
2014,2841,038,0B05,Peoples Energy Settlement,2268000,,,
2014,2842,038,0P29,Public Sector Energy Efficiency Aggregation Program,296000,,100000,100000
2014,2836,038,0P14,Streeterville Thorium Moratoriam Area Environmental Settlement Funds,2559000,,2499000,2499000
2014,2836,038,0K40,Community Development Block Grant,137285,134595,,134595
2014,2836,038,0K40,Total - 038 - Department of Fleet and Facility Management,7436363,1505368,3849000,5354368
2014,2836,038,0K40,Total - Finance and Administration,32335127,17260097,4095000,21355097
2014,2843,023,0P65,30th Anniversary Chicago Blues Festival,12000,,,
2014,2865,023,0J25,Art Works,,45000,,45000
2014,2860,023,0P73,Chicago Cultural Center - Randolph Street,,100000,,100000
2014,2855,023,0P72,Chicago Cultural Center Exhibition,25000,90000,,90000
2014,2864,023,0P72,Chicago Cultural Center Foundation,146000,,136000,136000
2014,2862,023,0P72,Chicago Cultural Center Renovation / Restoration,250000,,200000,200000
2014,2859,023,0P73,Chicago Cultural Plan,15000,250000,15000,265000
2014,2851,023,0P72,Cultural Fund,,50000,,50000
2014,2858,023,0P72,Development / Artists Residency Project,,35000,,35000
2014,2861,023,0P72,Gertrude Bernstein Memorial Garden,5000,,5000,5000
2014,2839,023,0J23,IAC - Community Arts Access Program,146000,146000,,146000
2014,2838,023,0J24,IAC - Partners in Excellence,43000,44000,,44000
2014,2845,023,0P65,Loops and Variations Concerts,45000,,,
2014,2846,023,0P72,Made in Chicago World Class Jazz,105000,70000,,70000
2014,2841,023,0P65,Market Research,75000,,,
2014,2800,023,0865,Mayor's Institute of City Design (Micd),250000,,250000,250000
2014,2849,023,0P72,Millenium Park Workouts,100000,100000,,100000
2014,2863,023,0P72,Public Art Endowment,610000,,610000,610000
2014,2848,023,0P72,Summerdance and World Music Festival,250000,,230000,230000
2014,2866,023,0J26,Tourism Marketing Partnership Program,,88000,,88000
2014,2852,023,0P72,World Music Festival,28000,35000,,35000
2014,2852,023,0P72,Total - 023 - Department of Cultural Affairs and Special Events,2105000,1053000,1446000,2499000
2014,2843,054,0K50,2009 Chicago Landmarks Map,24000,12000,,12000
2014,0S73,054,2801,ARRA - Neighborhood Stabilization,8010000,,,
2014,0S85,054,2800,ARRA - Neighborhood Stabilization Program 2,6500000,,,
2014,0S85,054,2850,ARRA - Neighborhood Stabilization Program Income,6789000,,6433000,6433000
2014,0S73,054,2849,ARRA - Neighborhood Stabilization Program Income,8914000,,6956000,6956000
2014,2865,054,0K44,Chicago Community Small Grants,25000,,,
2014,2853,054,0K30,Chicago Metropolitan Agency for Planning Energy Grant,350000,,,
2014,2863,054,0K43,Choice Neighborhoods Implementation,766000,,591000,591000
2014,2868,054,0K32,Foreclosure Prevention Program,1981000,900000,975000,1875000
2014,2819,054,0K14,Home Investment Partnership,,16060000,,16060000
2014,2819,054,0K11,Home Investment Partnership,78577000,,40571000,40571000
2014,2874,054,0K51,Low Income Housing Trust Fund,,10500000,,10500000
2014,2815,054,0K25,Neighborhood Stabilization Program 3,13535000,1500000,4048000,5548000
2014,2839,054,0770,OSLAD Beidler School Park,575000,,,
2014,2832,054,0K17,Ravenswood Industrial Cooridor,100000,,100000,100000
2014,2856,054,0K30,Sunshot Initiative - Rooftop Solar Challenge,822000,,,
2014,2856,054,0K40,Community Development Block Grant,30867917,32841023,,32841023
2014,2856,054,0K40,Total - 054 - Department of Planning and Development,157835917,61813023,59674000,121487023
2014,2856,054,0K40,Total - City Development,159940917,62866023,61120000,123986023
2014,2828,041,0260,AIDS Surveillance & Seroprevalence,1114000,,,
2014,2714,041,0H45,Air Pollution Control Program,412000,412000,,412000
2014,2734,041,0071,Biosense Syndromic Surveillance,25000,,25000,25000
2014,2883,041,0847,Bioterrorism Hospital Preparedness Program,3276000,,76000,76000
2014,2883,041,0H41,Bioterrorism Hospital Preparedness Program,,3276000,,3276000
2014,2829,041,0H42,Bioterrorism Preparedness Response Planning Grant,,9316941,,9316941
2014,2829,041,0847,Bioterrorism Preparedness Response Planning Grant,9337602,,3904000,3904000
2014,2853,041,0226,Breast and Cervical Cancer Outreach Program,500000,,,
2014,2710,041,0H32,Building Epidemiology and Health IT Capacity,,636000,,636000
2014,2710,041,0517,Building Epidemiology and Health IT Capacity,644000,,300000,300000
2014,2700,041,0H28,Care Van Blue Cross,317000,317000,,317000
2014,2894,041,0K48,Chicago Family Case Management,1877000,1677000,,1677000
2014,2804,041,0H15,Childhood Lead Poisoning Prevention,,431000,,431000
2014,2804,041,0248,Childhood Lead Poisoning Prevention,431000,,222000,222000
2014,2726,041,0H07,Community Transformation,444000,,444000,444000
2014,2713,041,0H29,Dating Matters,546000,350000,,350000
2014,2871,041,0H11,Dental Sealant,,50000,,50000
2014,2871,041,0071,Dental Sealant,105000,,78000,78000
2014,2844,041,0263,Education/Follow-Up Services in Genetics,132000,,,
2014,2880,041,0594,Educational Seminars Support,94000,,46000,46000
2014,2712,041,0050,Enhanced Comprehensive HIV Prevention Planning,1691000,,,
2014,2813,041,0H33,Epidemiology and Laboratory Capacity,,172000,,172000
2014,2813,041,0517,Epidemiology and Laboratory Capacity,172000,,75000,75000
2014,2729,041,0H25,Genetics Education / Follow Up Services,,139000,,139000
2014,2733,041,0H16,HIV / AIDS Surveillance,,1465000,,1465000
2014,2978,041,0H19,HIV Behavioral Surveillance,,451000,,451000
2014,2978,041,0260,HIV Behavioral Surveillance,451000,,,
2014,2812,041,0260,HIV/AIDS Prevention,10260000,,1300000,1300000
2014,2812,041,0H20,HIV/AIDS Prevention,,8808000,,8808000
2014,2961,041,0578,HOPWA Housing and Health Study Program,1488000,,,
2014,2718,041,0H44,Hazardous Materials Emergency Preparedness (HMEP) Planning,40000,40000,,40000
2014,2921,041,0H05,Health Services Program Income,7000702,6223373,,6223373
2014,2849,041,0K49,Healthy Families Illinois,247000,247000,,247000
2014,2816,041,0H18,Healthy Start Initiative,877000,877000,,877000
2014,2932,041,0H36,Housing Opportunities for People with AIDS (HOPWA),6108000,6108000,,6108000
2014,2727,041,0261,Immunization Capacity Building Assistance,1034000,,1015000,1015000
2014,2820,041,0261,Immunization and Vaccines for Children,4575000,,302000,302000
2014,2820,041,0H23,Immunization and Vaccines for Children,,4748000,,4748000
2014,2724,041,0261,Immunizations and Vaccines for Children,749000,,,
2014,2884,041,0H24,Lead Based Paint Hazard Control (Torrens Fund),,400000,,400000
2014,2944,041,0847,Lead Hazard Reduction Demonstration Program,3000000,,2700000,2700000
2014,2830,041,0352,Local Basic Health Protection,2541000,,,
2014,2730,041,0H30,Local Health Protection,,2541000,,2541000
2014,2910,041,0K47,Maternal and Child Health Block Grant (MATCH),5018000,5018000,,5018000
2014,2802,041,0H37,Mental Health - Mental Health Base Grant,833000,1133000,,1133000
2014,2974,041,0562,Minority AIDS Initiative,2464000,,300000,300000
2014,2974,041,0H34,Minority AIDS Initiative,,1329000,,1329000
2014,2887,041,0H21,Morbidity and Risk Behavior Surveillance,,451000,,451000
2014,2887,041,0260,Morbidity and Risk Behavior Surveillance,451000,,,
2014,2960,041,0H27,Mosquito Vector Prevention Program (Tire Funds),673000,675000,,675000
2014,2705,041,0H43,Public Health Infrastructure (Component I),,300000,,300000
2014,2705,041,0H01,Public Health Infrastructure (Component I),300000,,46000,46000
2014,2721,041,0H26,Resource Conservation,150000,150000,,150000
2014,2920,041,0260,Ryan White HIV Care Act - Title III HIV Early Intervention,503000,,,
2014,2731,041,0H35,Ryan White HIV Care Act A - Emergency Relief,,26127192,,26127192
2014,2728,041,0H22,Ryan White HIV Care Act C - Early Intervention Services,,478000,,478000
2014,2806,041,0562,Ryan White HIV Care Act Title I,25681849,,580000,580000
2014,2985,041,0H10,STD Surveillance Network Ssun,152000,152000,,152000
2014,2814,041,0050,Sexually Transmitted Disease Prevention,2526000,,400000,400000
2014,2814,041,0H09,Sexually Transmitted Disease Prevention,,2299000,,2299000
2014,2722,041,0H39,Solid Waste Management,143000,167000,,167000
2014,2722,041,0648,Solid Waste Management,250000,250000,,250000
2014,2936,041,0H38,Substance Abuse Treatment - DASA,653000,654000,,654000
2014,2984,041,0071,Summer Food Program,108000,,11000,11000
2014,2984,041,0H12,Summer Food Program,,75000,,75000
2014,2878,041,0071,Tanning Facilities Inspections,13000,,5000,5000
2014,2878,041,0H13,Tanning Facilities Inspections,,11000,,11000
2014,2998,041,0071,Tattoo and Body Art Piercing,26000,,4000,4000
2014,2998,041,0H14,Tattoo and Body Art Piercing,,24000,,24000
2014,2702,041,0352,Teen Pregnancy Prevention - Chicago Public Schools,364000,364000,100000,464000
2014,2868,041,0H40,Tobacco Free Communities,1259000,1259000,,1259000
2014,2725,041,0H06,Translation Research Program,174000,36000,100000,136000
2014,2824,041,0H31,Tuberculosis Control,,1260000,,1260000
