Year,Fund Code,Dept Number,Appropriation Authority,Appropriation Account,Appropriation Account Description,Recommendation,Previous Year Revised,Previous Year Appropriation,Earlier Year Expenditures
2013,0100,030,2005,0015,Schedule Salary Adjustments,13651,15288,15288,
2013,0100,030,2005,0020,Overtime,500,500,500,
2013,0100,030,2005,0000,Personnel Services - Total*,2820050,2813469,2813469,2607239
2013,0100,030,2005,0100,Contractual Services,,,,
2013,0100,030,2005,0130,Postage,46420,44942,44942,40241
2013,0100,030,2005,0138,For Professional Services for Information Technology,819283,768346,768346,709169
2013,0100,030,2005,0140,For Professional and Technical Services and Other Third,3491250,3481250,3481250,3157843
2013,0100,030,2005,0143,Court Reporting,68466,68466,68466,60255
2013,0100,030,2005,0157,Rental of Equipment and Services,8144,8144,8144,7122
2013,0100,030,2005,0162,Repair/Maintenance of Equipment,5070,4960,4960,3265
2013,0100,030,2005,0166,"Dues, Subscriptions and Memberships",1814,1530,1530,647
2013,0100,030,2005,0169,Technical Meeting Costs,890,570,570,
2013,0100,030,2005,0179,Messenger Service,5673,5673,5673,2250
2013,0100,030,2005,0190,Telephone - Centrex Billing,26000,26700,26700,35949
2013,0100,030,2005,0195,Relocation Expenses,500,500,500,
2013,0100,030,2005,0197,Telephone - Maintenance and Repair of,5000,6500,6500,6500
2013,0100,030,2005,0100,Contractual Services - Total*,4478510,4417581,4417581,4023241
2013,0100,030,2005,0200,Travel,,,,
2013,0100,030,2005,0229,Transportation and Expense Allowance,2000,2000,2000,714
2013,0100,030,2005,0200,Travel - Total*,2000,2000,2000,714
2013,0100,030,2005,0300,Commodities and Materials,,,,
2013,0100,030,2005,0340,Material and Supplies,25091,31903,31903,31943
2013,0100,030,2005,0348,Books and Related Material,1318,1288,1288,279
2013,0100,030,2005,0350,Stationery and Office Supplies,8699,13134,13134,11824
2013,0100,030,2005,0300,Commodities and Materials - Total*,35108,46325,46325,44046
2013,0100,030,2005,,Appropriation Total*,7335668,7279375,7279375,6675240
2013,0100,031,2005,0000,Personnel Services,,,,
2013,0100,031,2005,0005,Salaries and Wages - on Payroll,24494886,24603319,24603319,22630219
2013,0100,031,2005,0015,Schedule Salary Adjustments,25112,37060,37060,
2013,0100,031,2005,0020,Overtime,3734,1809,1809,5784
2013,0100,031,2005,0039,For the Employment of Students as Trainees,20025,29250,29250,
2013,0100,031,2005,0000,Personnel Services - Total*,24543757,24671438,24671438,22636003
2013,0100,031,2005,0100,Contractual Services,,,,
2013,0100,031,2005,0130,Postage,38727,29990,29990,35348
2013,0100,031,2005,0138,For Professional Services for Information Technology,268678,225699,225699,262517
2013,0100,031,2005,0140,For Professional and Technical Services and Other Third,1068734,1074848,1074848,1082075
2013,0100,031,2005,0141,Appraisals,8070,4035,4035,1675
2013,0100,031,2005,0143,Court Reporting,1078007,1186098,1186098,923309
2013,0100,031,2005,0145,Legal Expenses,123777,138638,138638,143872
2013,0100,031,2005,0149,For Software Maintenance and Licensing,9872,10681,10681,3714
2013,0100,031,2005,0150,Publications and Reproduction - Outside Services to Be,7577,7930,7930,2747
2013,0100,031,2005,0154,"For the Rental and Maintenance of Data Processing, Office",105733,89477,89477,58151
2013,0100,031,2005,0157,Rental of Equipment and Services,9407,6358,7608,26194
2013,0100,031,2005,0162,Repair/Maintenance of Equipment,3675,2640,3390,2344
2013,0100,031,2005,0166,"Dues, Subscriptions and Memberships",119424,102617,102617,92915
2013,0100,031,2005,0169,Technical Meeting Costs,40249,40467,40467,51115
2013,0100,031,2005,0178,Freight and Express Charges,11730,11439,11439,7393
2013,0100,031,2005,0181,Mobile Communication Services,43254,37690,37690,24972
2013,0100,031,2005,0186,Pagers,48,48,48,3167
2013,0100,031,2005,0190,Telephone - Centrex Billing,122553,115037,115037,150613
2013,0100,031,2005,0191,Telephone - Relocations of Phone Lines,,2000,,3567
2013,0100,031,2005,0197,Telephone - Maintenance and Repair of,26433,31625,31625,36045
2013,0100,031,2005,0100,Contractual Services - Total*,3085948,3117317,3117317,2911733
2013,0100,031,2005,0200,Travel,,,,
2013,0100,031,2005,0229,Transportation and Expense Allowance,1840,6844,6844,7563
2013,0100,031,2005,0245,Reimbursement to Travelers,54907,93515,93515,47864
2013,0100,031,2005,0270,Local Transportation,60074,35564,35564,47939
2013,0100,031,2005,0200,Travel - Total*,116821,135923,135923,103366
2013,0100,031,2005,0300,Commodities and Materials,,,,
2013,0100,031,2005,0348,Books and Related Material,21560,19295,19295,19904
2013,0100,031,2005,0350,Stationery and Office Supplies,130000,131850,131850,225876
2013,0100,031,2005,0300,Commodities and Materials - Total*,151560,151145,151145,245780
2013,0100,031,2005,,Appropriation Total*,27898086,28075823,28075823,25896882
2013,0100,033,2005,0000,Personnel Services,,,,
2013,0100,033,2005,0005,Salaries and Wages - on Payroll,4364587,4521079,4521079,4091531
2013,0100,033,2005,0015,Schedule Salary Adjustments,42767,47294,47294,
2013,0100,033,2005,0039,For the Employment of Students as Trainees,30000,30000,30000,7909
2013,0100,033,2005,0050,Stipends,21000,21000,21000,62040
2013,0100,033,2005,0000,Personnel Services - Total*,4458354,4619373,4619373,4161480
2013,0100,033,2005,0100,Contractual Services,,,,
2013,0100,033,2005,0130,Postage,8560,8560,8560,13733
2013,0100,033,2005,0140,For Professional and Technical Services and Other Third,222701,224201,224201,52774
2013,0100,033,2005,0143,Court Reporting,88000,97580,97580,82956
2013,0100,033,2005,0149,For Software Maintenance and Licensing,453010,319670,319670,333445
2013,0100,033,2005,0150,Publications and Reproduction - Outside Services to Be,7500,7500,7500,
2013,0100,033,2005,0152,Advertising,5480,6980,6980,
2013,0100,033,2005,0159,Lease Purchase Agreements for Equipment and Machinery,27410,27410,27410,26307
2013,0100,033,2005,0162,Repair/Maintenance of Equipment,10054,10054,10054,7428
2013,0100,033,2005,0166,"Dues, Subscriptions and Memberships",11700,2137,2137,2224
2013,0100,033,2005,0169,Technical Meeting Costs,11000,25423,25423,13097
2013,0100,033,2005,0178,Freight and Express Charges,2250,2250,2250,996
2013,0100,033,2005,0181,Mobile Communication Services,4500,5000,5000,2038
2013,0100,033,2005,0190,Telephone - Centrex Billing,29000,32821,32821,44572
2013,0100,033,2005,0197,Telephone - Maintenance and Repair of,8000,10000,10000,10000
2013,0100,033,2005,0100,Contractual Services - Total*,889165,779586,779586,589570
2013,0100,033,2005,0200,Travel,,,,
2013,0100,033,2005,0270,Local Transportation,2360,2360,2360,2287
2013,0100,033,2005,0200,Travel - Total*,2360,2360,2360,2287
2013,0100,033,2005,0300,Commodities and Materials,,,,
2013,0100,033,2005,0340,Material and Supplies,17158,24068,24068,9202
2013,0100,033,2005,0350,Stationery and Office Supplies,13133,32847,32847,12358
2013,0100,033,2005,0300,Commodities and Materials - Total*,30291,56915,56915,21560
2013,0100,033,2005,9000,Specific Purpose - General,,,,
2013,0100,033,2005,9067,For Physical Exams,170000,170000,170000,
2013,0100,033,2005,9000,Specific Purpose - General - Total,170000,170000,170000,
2013,0100,033,2005,,Appropriation Total*,5550170,5628234,5628234,4774897
2013,0100,035,2005,0000,Personnel Services,,,,
2013,0100,035,2005,0005,Salaries and Wages - on Payroll,4724456,4476034,4476034,3483010
2013,0100,035,2005,0012,Contract Wage Increment - Prevailing Rate,2209,2149,2149,
2013,0100,035,2005,0015,Schedule Salary Adjustments,22199,27248,27248,
2013,0100,035,2005,0000,Personnel Services - Total*,4748864,4505431,4505431,3483010
2013,0100,035,2005,0100,Contractual Services,,,,
2013,0100,035,2005,0130,Postage,10000,10000,10000,3077
2013,0100,035,2005,0140,For Professional and Technical Services and Other Third,1174200,738000,788000,151210
2013,0100,035,2005,0149,For Software Maintenance and Licensing,,2760,2760,
2013,0100,035,2005,0150,Publications and Reproduction - Outside Services to Be,500,500,500,
2013,0100,035,2005,0152,Advertising,38000,38000,38000,72295
2013,0100,035,2005,0160,Repair or Maintenance of Property,9300,9300,9300,7791
2013,0100,035,2005,0162,Repair/Maintenance of Equipment,72800,118216,68216,53157
2013,0100,035,2005,0168,Educational Development through Cooperative Education,4500,4500,4500,17083
2013,0100,035,2005,0169,Technical Meeting Costs,6800,6800,6800,
2013,0100,035,2005,0178,Freight and Express Charges,700,700,700,255
2013,0100,035,2005,0181,Mobile Communication Services,9800,10613,10613,8388
2013,0100,035,2005,0190,Telephone - Centrex Billing,23626,23655,23655,43179
2013,0100,035,2005,0197,Telephone - Maintenance and Repair of,10000,12553,12553,11800
2013,0100,035,2005,0100,Contractual Services - Total*,1360226,975597,975597,368235
2013,0100,035,2005,0200,Travel,,,,
2013,0100,035,2005,0229,Transportation and Expense Allowance,200,100,200,945
2013,0100,035,2005,0245,Reimbursement to Travelers,1500,1800,500,
2013,0100,035,2005,0270,Local Transportation,2490,1290,2490,2694
2013,0100,035,2005,0200,Travel - Total*,4190,3190,3190,3639
2013,0100,035,2005,0300,Commodities and Materials,,,,
2013,0100,035,2005,0340,Material and Supplies,3000,5000,5000,
2013,0100,035,2005,0350,Stationery and Office Supplies,16950,34000,34000,40353
2013,0100,035,2005,0300,Commodities and Materials - Total*,19950,39000,39000,40353
2013,0100,035,2005,,Appropriation Total*,6133230,5523218,5523218,3895237
2013,0100,038,2005,0000,Personnel Services,,,,
2013,0100,038,2005,0005,Salaries and Wages - on Payroll,217586,286145,286145,429929
2013,0100,038,2005,0015,Schedule Salary Adjustments,,1664,1664,
2013,0100,038,2005,0000,Personnel Services - Total*,217586,287809,287809,429929
2013,0100,038,2005,,Appropriation Total*,217586,287809,287809,429929
2013,0100,038,2103,0000,Personnel Services,,,,
2013,0100,038,2103,0005,Salaries and Wages - on Payroll,2435361,2999345,2999345,1313972
2013,0100,038,2103,0015,Schedule Salary Adjustments,15899,5053,5053,
2013,0100,038,2103,0000,Personnel Services - Total*,2451260,3004398,3004398,1313972
2013,0100,038,2103,0100,Contractual Services,,,,
2013,0100,038,2103,0140,For Professional and Technical Services and Other Third,16000,243970,243970,408088
2013,0100,038,2103,0143,Court Reporting,5000,5000,5000,
2013,0100,038,2103,0148,Testing and Inspecting,2000,,,
2013,0100,038,2103,0152,Advertising,2000,,,
2013,0100,038,2103,0159,Lease Purchase Agreements for Equipment and Machinery,108000,76000,76000,
2013,0100,038,2103,0166,"Dues, Subscriptions and Memberships",,1500,1500,
2013,0100,038,2103,0169,Technical Meeting Costs,,11500,11500,466
2013,0100,038,2103,0181,Mobile Communication Services,252000,300980,300980,
2013,0100,038,2103,0186,Pagers,,2000,2000,
2013,0100,038,2103,0189,Telephone - Non-Centrex Billings,21600,18200,18200,
2013,0100,038,2103,0190,Telephone - Centrex Billing,206000,245587,245587,
2013,0100,038,2103,0191,Telephone - Relocations of Phone Lines,9000,9000,9000,
2013,0100,038,2103,0196,Data Circuits,115100,147000,147000,
2013,0100,038,2103,0197,Telephone - Maintenance and Repair of,36000,51200,51200,
2013,0100,038,2103,0100,Contractual Services - Total*,772700,1111937,1111937,408554
2013,0100,038,2103,0200,Travel,,,,
2013,0100,038,2103,0270,Local Transportation,1500,13000,13000,6328
2013,0100,038,2103,0200,Travel - Total*,1500,13000,13000,6328
2013,0100,038,2103,0300,Commodities and Materials,,,,
2013,0100,038,2103,0340,Material and Supplies,12500,,,
2013,0100,038,2103,0350,Stationery and Office Supplies,40000,40000,40000,31553
2013,0100,038,2103,0300,Commodities and Materials - Total*,52500,40000,40000,31553
2013,0100,038,2103,,Appropriation Total*,3277960,4169335,4169335,1760407
2013,0100,038,2126,0000,Personnel Services,,,,
2013,0100,038,2126,0005,Salaries and Wages - on Payroll,27052869,22364256,22364256,
2013,0100,038,2126,0012,Contract Wage Increment - Prevailing Rate,292587,160289,160289,
2013,0100,038,2126,0015,Schedule Salary Adjustments,9372,9421,9421,
2013,0100,038,2126,0020,Overtime,500000,235000,235000,
2013,0100,038,2126,0021,Sworn/Civilian Holiday Premium Pay,,125000,125000,
2013,0100,038,2126,0091,Uniform Allowance,10000,19837,19837,
2013,0100,038,2126,0000,Personnel Services - Total*,27864828,22913803,22913803,
2013,0100,038,2126,0100,Contractual Services,,,,
2013,0100,038,2126,0125,Office and Building Services,16510148,15730000,15730000,
2013,0100,038,2126,0140,For Professional and Technical Services and Other Third,4160013,4329951,4329951,
2013,0100,038,2126,0157,Rental of Equipment and Services,367500,255504,255504,
2013,0100,038,2126,0160,Repair or Maintenance of Property,560000,487000,487000,
2013,0100,038,2126,0162,Repair/Maintenance of Equipment,1568000,373106,373106,
2013,0100,038,2126,0188,Vehicle Tracking Service,97703,140884,140884,
2013,0100,038,2126,0100,Contractual Services - Total*,23263364,21316445,21316445,
2013,0100,038,2126,0200,Travel,,,,
2013,0100,038,2126,0229,Transportation and Expense Allowance,50000,40000,40000,
2013,0100,038,2126,0200,Travel - Total*,50000,40000,40000,
2013,0100,038,2126,0300,Commodities and Materials,,,,
2013,0100,038,2126,0313,Cleaning and Sanitation Supply,807900,607900,607900,
2013,0100,038,2126,0319,Clothing,51661,,,
2013,0100,038,2126,0340,Material and Supplies,830000,431000,431000,
2013,0100,038,2126,0342,"Drugs, Medicine and Chemical Materials",1660,,,
2013,0100,038,2126,0365,Electrical Supplies,,69000,69000,
2013,0100,038,2126,0300,Commodities and Materials - Total*,1691221,1107900,1107900,
2013,0100,038,2126,,Appropriation Total*,52869413,45378148,45378148,
2013,0100,038,2131,0000,Personnel Services,,,,
2013,0100,038,2131,0005,Salaries and Wages - on Payroll,2841817,2622865,2622865,
2013,0100,038,2131,0015,Schedule Salary Adjustments,18465,13349,13349,
2013,0100,038,2131,0000,Personnel Services - Total*,2860282,2636214,2636214,
2013,0100,038,2131,0100,Contractual Services,,,,
2013,0100,038,2131,0130,Postage,45000,45000,45000,
2013,0100,038,2131,0140,For Professional and Technical Services and Other Third,1170780,1312293,1312293,
2013,0100,038,2131,0141,Appraisals,20000,50000,50000,
2013,0100,038,2131,0149,For Software Maintenance and Licensing,137600,12597,12597,
2013,0100,038,2131,0152,Advertising,,900,900,
2013,0100,038,2131,0155,Rental of Property,16102762,16805332,16805332,
2013,0100,038,2131,0157,Rental of Equipment and Services,46000,45000,45000,
2013,0100,038,2131,0159,Lease Purchase Agreements for Equipment and Machinery,299500,300604,300604,
2013,0100,038,2131,0160,Repair or Maintenance of Property,150000,100000,100000,
2013,0100,038,2131,0162,Repair/Maintenance of Equipment,60000,45330,45330,
2013,0100,038,2131,0166,"Dues, Subscriptions and Memberships",1415,,,
2013,0100,038,2131,0169,Technical Meeting Costs,6390,6623,6623,
2013,0100,038,2131,0179,Messenger Service,4000,4000,4000,
2013,0100,038,2131,0185,Waste Disposal Services,8820,8820,8820,
2013,0100,038,2131,0100,Contractual Services - Total*,18052267,18736499,18736499,
2013,0100,038,2131,0200,Travel,,,,
2013,0100,038,2131,0229,Transportation and Expense Allowance,2214,1020,1020,
2013,0100,038,2131,0270,Local Transportation,,144,144,
2013,0100,038,2131,0200,Travel - Total*,2214,1164,1164,
2013,0100,038,2131,0300,Commodities and Materials,,,,
2013,0100,038,2131,0315,Motor Vehicle Diesel Fuel,10082549,9375000,9375000,
2013,0100,038,2131,0318,Other Fuel,335107,287000,287000,
2013,0100,038,2131,0320,Gasoline,15366801,14013360,14013360,
2013,0100,038,2131,0322,Natural Gas,2037028,2764299,2764299,
2013,0100,038,2131,0325,Alternative Fuel,244000,220000,220000,
2013,0100,038,2131,0331,Electricity,9581118,9138840,9138840,
2013,0100,038,2131,0340,Material and Supplies,205158,178733,178733,
2013,0100,038,2131,0348,Books and Related Material,885,845,845,
2013,0100,038,2131,0350,Stationery and Office Supplies,390000,452500,452500,
2013,0100,038,2131,0300,Commodities and Materials - Total*,38242646,36430577,36430577,
2013,0100,038,2131,9000,Specific Purpose - General,,,,
2013,0100,038,2131,9067,For Physical Exams,11785,1785,1785,
2013,0100,038,2131,9000,Specific Purpose - General - Total,11785,1785,1785,
2013,0100,038,2131,9100,Specific Purpose - as Specified,,,,
2013,0100,038,2131,9160,For Expenses Related to Services Provided by PBC,1233354,1609898,1609898,
2013,0100,038,2131,9100,Specific Purpose - as Specified - Total,1233354,1609898,1609898,
2013,0100,038,2131,,Appropriation Total*,60402548,59416137,59416137,
2013,0100,038,2140,0000,Personnel Services,,,,
2013,0100,038,2140,0005,Salaries and Wages - on Payroll,32927971,32523229,32523229,
2013,0100,038,2140,0012,Contract Wage Increment - Prevailing Rate,436359,392949,392949,
2013,0100,038,2140,0015,Schedule Salary Adjustments,24127,24426,24426,
2013,0100,038,2140,0020,Overtime,400000,265000,265000,
2013,0100,038,2140,0091,Uniform Allowance,,30000,30000,
2013,0100,038,2140,0000,Personnel Services - Total*,33788457,33235604,33235604,
2013,0100,038,2140,0100,Contractual Services,,,,
2013,0100,038,2140,0140,For Professional and Technical Services and Other Third,4577138,4555329,4555329,
2013,0100,038,2140,0148,Testing and Inspecting,108571,54449,54449,
